CAR REGN PREFIX,CAR REGN NO.,BUILDING NO.,FLOOR NO.,NAME,MOBILE NO.,LAND LINE/ MOB. NO.,CAR,MODEL
DL36XY,1089,344,J,Anahita Bava,5884149256,9.17677E+11,Ford,EcoSport
DL09lx,9766,216,C,Navya Sharaf,3965430894,7884909052,Renault,Kwid
DL52bN,932,296,M,Fateh Chhabra,7668186481,9.12583E+11,Mahindra,Thar
DL35Gl,4814,853,P,Urvi Dutta,9.12226E+11,3210186334,Skoda,Rapid
DL60DB,4475,477,C,Sara Bala,9.18793E+11,1684218790,Tata,Nexon
DL53Fr,2009,198,C,Anahi Saha,7723612498,9.14013E+11,Tata,Nexon
DL89Oo,2886,498,Y,Yuvaan Krishnamurthy,9.10025E+11,6045254376,Hyundai,i20
DL82Xa,3365,542,Y,Ivan Bhardwaj,1985863534,9.11027E+11,Ford,EcoSport
DL46nN,4757,897,W,Saira Bakshi,8031472379,9.14648E+11,Skoda,Rapid
DL07Lz,2398,660,O,Vedika Trivedi,7170334955,9920600026,Mahindra,Thar
DL07Wh,8362,800,G,Samiha Anand,9.15088E+11,9.18899E+11,Skoda,Rapid
DL43US,3735,493,J,Purab Kannan,8180606672,9.18513E+11,Ford,EcoSport
DL72Lu,5744,774,I,Hiran Krishnan,9.16869E+11,9911715298,Volkswagen,Polo
DL94FT,4140,427,N,Zeeshan Sagar,405245631,9.11754E+11,Volkswagen,Polo
DL80Cb,538,934,U,Krish Loke,9.1457E+11,9.15279E+11,Volkswagen,Polo
DL50AA,1674,381,R,Nirvi Goyal,7387913955,408315902,Toyota,Corolla
DL85db,8238,561,Q,Divit Dyal,9.10885E+11,9.18541E+11,Mahindra,Thar
DL44oG,4838,660,J,Aarna Jain,9.19085E+11,9.18954E+11,Honda,City
DL02ui,3978,135,J,Reyansh Bajwa,9.19463E+11,9086575728,Hyundai,i20
DL59Kw,872,503,V,Anay Anne,5443132999,9054991586,Skoda,Rapid
DL77SZ,1287,676,E,Arnav Korpal,9272992339,6859977592,Hyundai,i20
DL42Tv,9416,663,G,Hunar Uppal,2242227968,4155025562,Ford,EcoSport
DL65Eq,8997,721,F,Taimur Buch,5871814934,8207818624,Toyota,Corolla
DL38Lo,9165,732,M,Tanya Bajwa,3784737659,3905677215,Tata,Nexon
DL76Bl,4131,568,M,Mamooty Khatri,1822350997,939186126,Honda,City
DL47xJ,9742,969,S,Ivan Mandal,9128706965,905297629,Mahindra,Thar
DL09Ps,1684,309,I,Onkar Contractor,9046588101,9.18055E+11,Maruti Suzuki,Swift
DL57zb,4442,636,M,Tushar Tripathi,9.13862E+11,9.15931E+11,Mahindra,Thar
DL88iJ,4156,233,C,Ishaan Ganesan,9.19853E+11,9.13259E+11,Honda,City
DL81Kt,4755,544,W,Hazel Edwin,2003784536,9.11652E+11,Honda,City
DL68yr,8126,800,H,Ryan Choudhary,9.12157E+11,1337209082,Renault,Kwid
DL14fS,41,153,J,Akarsh Deo,6396436873,3662243576,Honda,City
DL48oA,6738,450,C,Alia Gaba,4633281202,4713114847,Ford,EcoSport
DL06ow,9829,499,B,Yashvi Guha,9.10332E+11,7992811540,Toyota,Corolla
DL90kX,9075,859,B,Alia Issac,9217984769,9.17582E+11,Maruti Suzuki,Swift
DL98tA,840,716,F,Raunak Kibe,9.10077E+11,9.13654E+11,Skoda,Rapid
DL97Gy,8780,531,Y,Shamik Barman,176003235,7204308278,Mahindra,Thar
DL96VJ,6175,878,X,Inaaya  Ben,9.17429E+11,5651332557,Mahindra,Thar
DL47xb,7896,387,T,Nehmat Brar,9.18181E+11,9.15643E+11,Mahindra,Thar
DL23EY,6370,534,V,Prerak Bhandari,447083548,9.10821E+11,Honda,City
DL28YY,669,942,D,Kimaya Amble,7661794425,9.15043E+11,Skoda,Rapid
DL51yb,8731,692,J,Adah Lanka,2352033611,3405185752,Hyundai,i20
DL83AJ,4118,559,J,Ranbir Singh,9596722647,9.16292E+11,Mahindra,Thar
DL23fT,6755,306,B,Suhana Kapadia,8466021530,7044592539,Hyundai,i20
DL04ow,482,768,Y,Dishani Tata,1976581139,9.10333E+11,Ford,EcoSport
DL05Cw,6389,939,Z,Sahil Walia,9.15427E+11,9.19438E+11,Mahindra,Thar
DL87PL,2603,150,F,Diya Shetty,9.11058E+11,9.10903E+11,Honda,City
DL99Yt,5132,497,I,Adira Jani,4388429029,9.1317E+11,Hyundai,i20
DL35GX,1940,646,O,Jayesh Raman,7270178575,6243672650,Ford,EcoSport
DL34IC,945,158,V,Manjari Lalla,9.17091E+11,9.12355E+11,Renault,Kwid
DL38Wt,9825,820,Q,Jivin Varty,1765994114,9.14494E+11,Ford,EcoSport
DL22nt,7962,841,F,Samiha Dhar,2659112414,5704285787,Honda,City
DL08FA,8036,794,A,Mishti Seshadri,9.17971E+11,8540089524,Ford,EcoSport
DL26ym,8859,267,J,Lakshit Grover,7460534068,9.10834E+11,Ford,EcoSport
DL30vj,205,579,W,Krish Guha,7404647019,8566856790,Tata,Nexon
DL18bM,284,646,U,Vritika Gara,7089667516,5415827184,Maruti Suzuki,Swift
DL40QE,5539,966,R,Inaaya  Dara,9088239416,3820709316,Toyota,Corolla
DL31hm,591,361,T,Vivaan Tandon,615555273,9.16385E+11,Volkswagen,Polo
DL89iU,5607,981,Q,Dharmajan Khanna,9.14308E+11,9.19283E+11,Toyota,Corolla
DL60DK,6271,166,R,Vardaniya Dara,7463517192,5068429217,Volkswagen,Polo
DL54wg,9950,410,K,Neysa Chaudhari,9.1117E+11,8887512108,Renault,Kwid
DL20kV,3242,475,L,Priyansh Hegde,5703460345,4384071273,Toyota,Corolla
DL85eD,4219,850,Q,Manikya Verma,9.17766E+11,9.18527E+11,Volkswagen,Polo
DL27Ic,1200,787,D,Ahana  Kohli,9.18338E+11,1572307105,Ford,EcoSport
DL06Md,5252,593,G,Alia Dixit,3262684588,941826445,Honda,City
DL90oN,5189,855,C,Zaina Sibal,9.12118E+11,1186636483,Tata,Nexon
DL42wq,8913,923,G,Kavya Chaudhari,8999105802,9.17007E+11,Tata,Nexon
DL90at,169,109,Q,Pari Mann,9.17231E+11,2853536358,Volkswagen,Polo
DL39pY,9325,653,P,Anya Varty,7182258655,9.16168E+11,Toyota,Corolla
DL11rh,8794,945,B,Kavya Balan,5779837653,6671025564,Renault,Kwid
DL23Vn,7633,721,P,Ayesha Koshy,9372370060,9.19055E+11,Toyota,Corolla
DL49zf,3435,137,O,Arnav Tripathi,9.11644E+11,9.13487E+11,Volkswagen,Polo
DL89OZ,9716,642,F,Renee Lal,4789556101,6794671400,Skoda,Rapid
DL05nB,264,222,Q,Aayush Kala,1443445385,7153872639,Mahindra,Thar
DL81gi,3525,303,H,Neysa Lanka,9.12261E+11,4924929673,Toyota,Corolla
DL53tM,1345,530,U,Tara Chahal,4903888913,709609464,Volkswagen,Polo
DL05Kq,8905,498,B,Tanya Bhakta,3523641350,9.15707E+11,Tata,Nexon
DL31Qm,8594,366,W,Eva Lal,9.1717E+11,5070887146,Skoda,Rapid
